,id,width,npaths,length,fatness,centroid_x,centroid_y,centroid_y_pix,centroid_x_pix,img_x,img_y,N,label
0,0,8.94427190999916,5,12.791228995303332,41.04374960316705,21.37329931972789,5.665210459183673,104.79428571428572,66.8952380952381,21,5,134,0_21_5
0,0,10.0,1,51.31370849898475,6.7623255100898705,2.336252701729107,3.0939912258130917,27.956772334293948,60.25648414985591,2,2,135,0_2_2
1,1,14.142135623730951,1,54.38477631085022,8.366311877414557,2.6746222527472527,3.0317528453689166,39.10989010989011,120.8923076923077,2,2,136,1_2_2
2,2,8.246211251235321,1,53.66904755831211,6.2792245313063395,2.28933406634167,2.948362653666808,54.053412462908014,51.8486646884273,2,2,137,2_2_2
3,3,4.0,1,6.82842712474619,2.7824855787277984,3.153078007518797,2.9630521616541357,51.421052631578945,206.6315789473684,2,2,138,3_2_2
4,4,10.0,1,54.426406871192825,7.092145562971284,3.015465974278312,2.565249699296817,122.70725388601036,181.97150259067357,2,2,139,4_2_2
0,0,6.0,1,4.414213562373095,4.530818393219729,38.02427455357143,19.253348214285715,178.6,4.35,38,19,140,0_38_19
0,0,18.0,3,2.134374745810947,703.7189710700598,9.53167577159026,10.686424796699638,100.99267643142477,95.2762982689747,9,10,141,0_9_10
0,0,8.0,1,23.313708498984766,3.9032829120241743,23.888380592621665,6.482608908948195,137.5164835164835,159.1978021978022,23,6,142,0_23_6
0,0,4.47213595499958,1,77.05382386916231,2.777279429550087,8.98714953271028,37.20243136682243,187.72429906542055,176.89719626168224,8,37,143,0_8_37
0,0,7.211102550927978,1,5.0,4.4,33.499441964285715,40.06534090909091,33.09090909090909,89.5,33,39,144,0_33_39
0,0,4.0,1,133.49747468305827,2.629263218898509,23.137502543752543,37.83838904151404,73.76068376068376,203.84045584045583,22,37,145,0_22_37
0,0,10.770329614269007,1,64.76955262170044,6.87051217721252,10.470957062600322,1.8000852728731944,80.62471910112359,84.39550561797753,10,1,146,0_10_1
1,1,12.649110640673518,1,74.59797974644661,7.72138872872676,10.211113823784721,1.6041317894345237,115.73958333333333,37.83159722222222,10,1,147,1_10_1
2,2,8.94427190999916,3,13.033869682422617,27.92723948213843,10.901089702708006,1.7377262804160125,91.79945054945055,161.47527472527472,10,1,148,2_10_1
3,3,12.0,7,45.64079866815187,18.07593258826307,10.456080898268398,1.5956574675324675,117.25818181818182,81.72969696969697,10,1,149,3_10_1
4,4,6.0,1,64.14213562373095,3.1648462906011376,10.168592760380013,1.4034900598170301,151.69458128078819,30.211822660098523,10,1,150,4_10_1
